iyp_org_name,iyp_countries,iyp_n_as,tier,candidates,candidate_names
IRIS,,0,legal_exact_nocountry,894500UE4D2QHCT9IT59;969500543HYD37LMO243;96950069WTHDPZTOIU10;9695007DJ86GBNTH3I14;969500C41Z6DKVGPLG77;969500F14WHBV36M3D56;969500IELBXV75Y4OJ84;969500IRGZ9Q4B9QCG22;969500LQEJZD9Z9F5G96;969500MKIJNK71RBB921;969500RZB09SX3JK6X31,IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE] | IRIS [ACTIVE]
F&B Capital GmbH,DE,1,legal_exact,391200841WRND6TZHR18;391200ER5EWLA0YFIM94,F&B Capital GmbH [ACTIVE] | F&B Capital GmbH [ACTIVE]
weber.investments GmbH & Co. KG,DE,0,legal_core,529900RZ94GBCT73TI07;9676003XWFCMSHQHY784,Weber GmbH & Co. KG [ACTIVE] | Weber GmbH [ACTIVE]
Alfa Service s.r.l.,IT,1,legal_exact,81560033C1A781AF5269;8156008BB528E9D30897;815600E2AE9FC7AC8143,ALFA SERVICE S.R.L. [ACTIVE] | ALFA SERVICE S.R.L. [ACTIVE] | ALFA SERVICE S.R.L. [ACTIVE]
C.C.S. (Leeds) Ltd,GB,1,legal_core,2138001RLWTLLH99QH79;2138002VAW4MQ6UOFL20;213800YXJTHSGJ33IR78,C.P.S. PARTNERSHIP LIMITED [ACTIVE] | C.A.C. (HOLDINGS) LIMITED [ACTIVE] | C [ACTIVE]
Northrop Grumman,US,1,legal_core,5493009D2COWW65B8673;RIMU48P07456QXSO0R61,NORTHROP GRUMMAN Federal Credit Union [ACTIVE] | NORTHROP GRUMMAN CORPORATION [ACTIVE]
Shiv Nadar Institution of Eminence,IN,1,legal_exact,33580025NH7HABZFNO49;335800OC2YVFD7I6OR27,SHIV NADAR UNIVERSITY [ACTIVE] | SHIV NADAR UNIVERSITY [ACTIVE]
Telstra Corporation Ltd,AU,0,legal_core,894500U4L7JONMULJE04;PCTXNQGRJVR3OG33JG65,TELSTRA LIMITED [ACTIVE] | TELSTRA CORPORATION LIMITED [ACTIVE]
TON Total Optical Networks AG,,1,legal_exact_nocountry,529900A374ZZW41XEO19;529900E8RD98QSFJAL40,TON Total Optical Networks AG [ACTIVE] | TON Total Optical Networks (FL) AG [ACTIVE]
European Space Agency,IT,0,legal_core,815600FC70BBEFD7D618;9845000A0N47B3F86543,ESA S.P.A. [ACTIVE] | ESA S.R.L. [ACTIVE]
Bechtle AG,DE,1,legal_core,52990046P9I4X3IC2Z83;5299007NTFS1LWW6C529;5299008COOL6AVHZSF14;529900AIMW9MWJFLV586;529900ESNQW5NFQNE715;529900HA2QT774RUXW59;529900J0H3LXZA6JHV59;529900K2XUJNSLDDLA15;529900K3YL0NDC90SS24;529900MVWQT3JKJZLR86;529900P4JUTQEQSLXF90;529900S557ET4A93NT24;529900WMIXMSQ54I4670;529900XY0E67TJWQEQ86;529900Y3CAVLV9I9Y898,Bechtle GmbH & Co. KG [ACTIVE] | Bechtle GmbH & Co. KG [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH & Co. KG [ACTIVE] | Bechtle Aktiengesellschaft [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH & Co. KG [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH & Co. KG [ACTIVE] | Bechtle GmbH [ACTIVE] | Bechtle GmbH & Co. KG [ACTIVE]
Bastivan Consulting SAS,FR,1,legal_exact,969500270M9UCIEOHI98;969500E7AEJ29AP85G82,BC [ACTIVE] | BC [ACTIVE]
"Skadden, Arps, Slate, Meagher & Flom LLP",US,3,legal_exact,549300B3R30FPUQ1BS86;549300MEUUT8ZL7LMR77,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP [ACTIVE] | SKADDEN, ARPS, SLATE, MEAGHER & FLOM (UK) LLP [ACTIVE]"
"Bloomberg, LP",US,2,legal_core,549300B56MD0ZC402L06;549300RMUDWPHCUQNE66,Bloomberg L.P. [ACTIVE] | Bloomberg Inc. [ACTIVE]
Maverick,,1,legal_exact_nocountry,969500728K9LZI6ACH18;969500ICFOVBUXELOU81;969500WC1DTFXLEPLQ75,MAVERICK [ACTIVE] | MAVERICK [ACTIVE] | MAVERICK [ACTIVE]
Premier Communications,US,2,legal_core,2549004WBDC394DA3W87;254900TVN7TKHQZISG52;549300MYCPE87Q1LS481;549300TGY7XOOC477466,"Premier Credit Union [ACTIVE] | Premier Federal Credit Union [ACTIVE] | PREMIER AG INC. [ACTIVE] | The Premier, LLC [ACTIVE]"
Hutchison 3G UK,GB,1,legal_core,213800IQ24EO5J7N4H69;213800WXXJQTIZWNH656,HUTCHISON 3G UK LIMITED [ACTIVE] | HUTCHISON 3G UK FINANCE LIMITED [ACTIVE]
Network,IN,1,legal_exact,335800TNBOPVCAOK4271;894500SB4WNULF41V713,NETWORK [ACTIVE] | Network [ACTIVE]
LINK S.R.L.,IT,1,legal_exact,8156000B512002DAE531;8156008E07B0B03D1308;815600E33D18B8E9A407,LINK S.R.L. [ACTIVE] | LINK S.R.L. [ACTIVE] | LINK S.R.L. [ACTIVE]
Citizens Telephone Cooperative,US,1,legal_core,5493000M5TUF0NCIHX08;5493008ORX814MK1WM19;549300Z39SMLUE3VF522,"CITIZENS L.L.C. [ACTIVE] | CITIZENS CORPORATION [ACTIVE] | CITIZENS, INC. [ACTIVE]"
XTB S.A.,PL,3,legal_core,259400AVUPSABLEXNT19;259400SGLXKVRKOUKF65,XTB SPÓŁKA AKCYJNA [ACTIVE] | XTB LIMITED [ACTIVE]
Actus S.A.,PL,1,legal_core,2594000EV0J6FOL0BH24;984500DBF6DCUF836381,ACTUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ [ACTIVE] | ACTUS SPÓŁKA AKCYJNA [ACTIVE]
Sicilcom Societa' Cooperativa,IT,1,legal_core,81560025C93ED5ADE753;894500RSCNO6POUS1E78,SICILCOM S.R.L. [ACTIVE] | SICILCOM S.R.L. [ACTIVE]
Terra,,0,legal_exact_nocountry,72450065R9GD3TH6L970;969500X58LTS6RCQ4U51,Terra [ACTIVE] | TERRA [ACTIVE]
Ernst & Young,,0,legal_exact_nocountry,222100D7D98APMA9KM73;254900S1GY2HESYK2Y81,ERNST & YOUNG [ACTIVE] | Ernst & Young [ACTIVE]
OPTIMUM,,0,legal_exact_nocountry,5493004SUY89YEOQWE09;69940046UZSQJETUSF65,Optimum [ACTIVE] | Optimum [ACTIVE]
COMMUNITY INTERNET PROVIDERS LLC,US,1,legal_core,5493002YGEDDD3RDCD28;549300X3ZRS78LSYEK49,"CIP Investments (UK), LP [ACTIVE] | CIP (Change in Progress), L.P. [ACTIVE]"
SCE DEPARTEMENTAL INCENDIE ET SECOURS,FR,1,legal_exact,9695001KW4UYVSDRP570;9695005CGZYLAVVPMB61;969500I44B0P2NDNXK46;969500OPNC422BD48Z83,SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE]
Mecklenburg Electric Cooperative / Empower,US,1,legal_core,549300L7JNOXBW10PN68;549300YKTME1U7Z0UN20,Empower Credit Union [ACTIVE] | Empower Federal Credit Union [ACTIVE]
AXA Versicherungen AG,CH,0,legal_exact,391200NQ044IOMPTTM17;391200ZMYCMVKZYKPS84;529900VY3W1BDS55VX90,"AXA Versicherungen AG (Insurance Ltd.) (acting on behalf of its account ""Allocated Assets"") [ACTIVE] | AXA Versicherungen AG (Insurance Ltd.) (acting on behalf of its account ""Free Assets"") [ACTIVE] | AXA Versicherungen AG [ACTIVE]"
