iyp_org_name,lei,lei_legal_name,lei_countries,entity_status,registration_status,match_method,confidence,matched_name,hint,iyp_countries,peeringdb_org_ids,caida_org_ids,iyp_websites,iyp_n_as
"AT&T Enterprises, LLC",254900BOOH55HZ1NF803,"AT&T Enterprises, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,at and t enterprises llc,,US,,AEL-360-ARIN,,123
Apogee Telecom Inc.,5493004A58A6J83OF885,"APOGEE TELECOM, INC.",US,ACTIVE,LAPSED,legal_exact,1.0,apogee telecom inc,,US,,APOG-ARIN,,68
Microsoft Corporation,INR2EJN1ERAN0W5ZP974,MICROSOFT CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,microsoft corporation,,US,8896,MSFT-ARIN,,64
"Vercara, LLC",254900GFIR7U1E9IO007,"VERCARA, LLC",US,ACTIVE,LAPSED,legal_exact,1.0,vercara llc,,US,,ORG-PA71-AP-APNIC;SSL-1134-ARIN,,64
HP Inc.,WHKXQACZ14C5XRO8LW03,HP INC.,US,ACTIVE,ISSUED,legal_exact,1.0,hp inc,,US,33868,HPINC-ARIN;HPINC-Z-ARIN,,63
"Comcast Cable Communications, LLC",549300T2R1ZBGV1UVE31,"COMCAST CABLE COMMUNICATIONS, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,comcast cable communications llc,,US,1061,CCCS-ARIN,,56
Oracle Corporation,1Z4GXXU7ZHVWFCD8TV52,ORACLE CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,oracle corporation,,US,10730,ORACLE-4-ARIN;ORACLE-4-Z-ARIN;ORG-OC1-AP-APNIC,,55
VOCUS PTY LTD,549300KWP0QLMVT5UD71,VOCUS PTY LTD,AU,ACTIVE,ISSUED,legal_exact,1.0,vocus pty ltd,,AU,,ORG-VPL1-AP-APNIC,,53
"Equinix, Inc.",549300EVUN2BTLJ3GT74,"EQUINIX, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,equinix inc,,US,2,EQUINIX-ARIN,http://www.equinix.com,49
"GoDaddy.com, LLC",54930014QNWWH8OAC930,"GODADDY.COM, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,godaddy com llc,,US,,GODAD-ARIN,,43
DE-CIX Management GmbH,39120050QRC3PQ76LC82,DE-CIX Management GmbH,DE,ACTIVE,LAPSED,legal_exact,1.0,de cix management gmbh,,DE,,ORG-DTGI1-RIPE,,40
TEGNA Inc.,549300YC5EDBGX85AO10,TEGNA INC.,US,ACTIVE,LAPSED,legal_exact,1.0,tegna inc,,US,,TEGNA-ARIN,,40
"JAB Wireless, INC.",549300R4BES1TY0WZK46,"JAB Wireless, Inc",US,ACTIVE,LAPSED,legal_exact,1.0,jab wireless inc,,US,,JABWI-ARIN,,35
