name,countries,n_as
United States Department of Defense (DoD),US,1008
Renater,FR,307
"Headquarters, USAISC",US,290
Air Force Systems Networking,US,237
Verizon Business,US,229
"JSC ""ER-Telecom Holding""",RU,117
U.S. Sprint,US,101
"CenturyLink Communications, LLC",US,92
Navy Network Information Center (NNIC),US,85
"Internet Systems Consortium, Inc. (ISC)",US,71
Yahoo Holdings Inc.,US,49
PT Josu Global Teknologi,ID,49
Windstream Communications LLC,US,48
AT&T Japan K.K.,JP,48
Office of Info.Tech. Admin. for Educational Development,TH,48
Shared Services Canada,CA,47
"Internet Systems Consortium, Inc.",US,45
"Level 3 Parent, LLC",US,40
Avago Technologies U.S. Inc.,US,37
Contrust Solutions S.R.L.,MD,36
Joint Stock Company TransTeleCom,RU,34
Islamic Republic of Iran Post PJSC,IR,33
Unitas Global,US,31
"Hearst-Argyle Television, Inc.",US,31
IBM,US,30
Cámara Argentina de Internet (CABASE),AR,30
GONET,CA,30
"BroadbandONE, LLC",US,29
Merit Network Inc.,US,29
China Mobile Communications Corporation,CN,29
"Beijing CNISP Technology Co., Ltd.",CN,29
"Join-stock company ""Internet Exchange""MSK-IX""",RU,29
National Aeronautics and Space Administration,US,28
Slush Technologies AS V4 Transit,NZ,27
"Fiserv Solutions, LLC",US,27
H5 Data Centers,US,27
"RTX BBN Technologies, Inc.",US,26
China Education and Research Network (CERNET),CN,24
Internet Systems Consortium,US,24
PIT,PE,23
M2ngage Telecommunications II Corp.,US,21
NTT Global Networks Incorporated,US,21
aBitCool Broadband Beijing Inc.,CN,20
Korea Internet Security Agency,KR,20
SC ITNS.NET SRL,MD,20
IIX Australia Pty Ltd,AU,20
"BBIX, Inc.",JP,20
"CERNET New Technology Co., Ltd",CN,19
BOMBORA TECHNOLOGIES PTY LTD,AU,19
Breezeline,US,18
"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,18
GOVERNMENT TECHNOLOGY AGENCY,SG,18
5G NETWORK OPERATIONS PTY LTD,AU,18
Ninja-IX Corporation,US,18
Telstra International Limited,HK,17
Siberian Internet Company LLC,RU,17
Wave Broadband,US,17
"Valor Information Technologies, S.L.",ES,17
Research and Education Advanced Network New Zealand,NZ,17
NBI SIA,LV,16
LG HelloVision Corp.,KR,16
Sprint/United Telephone-Florida,US,16
GTT - EMEA Ltd.,GB,16
Clouvider Limited,GB,15
JSC Avantel,RU,15
KSC Commercial Internet Co.Ltd.,TH,15
"OOO ""MediaSeti""",RU,15
Chief Telecom Inc.,TW,15
"UnitedLayer, LLC",US,15
LLC VK,RU,14
Invermae Solutions SL,ES,14
Richmond-IX Corporation,US,14
Citytelecom LLC,RU,14
HERO TELECOMS (PTY) LTD,ZA,14
"Towerstream I, Inc.",US,14
Nikita Sergienko,RU,14
"Hangzhou Alibaba Advertising Co.,Ltd.",CN,14
"Misaka Network, Inc.",US,13
"Momentum Telecom, Inc.",US,13
Vero Internet,BR,13
Stowarzyszenie e-Poludnie,PL,13
Luxoft Professional Romania S.R.L.,RO,13
Amsterdam Internet Exchange B.V.,NL,13
Rice University,US,13
TISPA - Tanzania Internet Service Providers Association,TZ,13
National Telecom Public Company Limited,TH,12
"Think On, Inc.",CA,12
HostPapa,US,12
Internet Systems Consortium Inc.,US,12
National Oceanic and Atmospheric Administration,US,12
interTouch Pte. Ltd.,SG,12
NIC.br,BR,12
"Houston Associates, Inc.",US,12
DXC Technology Australia Pty Limited,AU,12
"JSC ""Ufanet""",RU,12
"Joint-stock company ""Internet Exchange"" MSK-IX",RU,12
WHG Hosting Services Ltd,GB,12
Baker College,US,11
France IX Services SASU,FR,11
"AT&T Services, Inc.",US,11
VMWare Incorporation,JP,11
APNIC Training Unit Team,AU,11
CANIX Solutions & Services,CA,11
American Information Network,US,11
PJSC Moscow city telephone network,RU,11
Vietnam Internet network information center (VNNIC),VN,11
Asia Pacific Network Information Centre,AU,11
"Leaseweb USA, Inc.",US,11
TalkTalk Communications Limited,GB,11
DE-CIX North America Inc.,US,11
Piter-IX Co. Ltd.,RU,11
IBASIS INC.,US,11
Oracle Svenska AB,SE,11
"NetActuate, Inc",US,11
"JSC ""RU-CENTER""",RU,11
Yahoo-UK Limited,GB,11
A-Systems Sp. z o.o.,PL,11
RCN,US,11
OOO WestCall Ltd.,RU,11
Over the Wire Pty Ltd,AU,10
iFog GmbH,CH,10
xTom GmbH,DE,10
Ziply Fiber,US,10
Dstny BE N.V.,BE,10
AEG,US,10
China Internet Network Infomation Center,CN,10
OOO SET,RU,10
GCI Network Solutions Limited,GB,10
Nextlink Broadband,US,10
"Beijing Baidu Netcom Science and Technology Co., Ltd.",CN,10
Digital Space Group Limited,GB,10
"Wi-Fiber, Inc.",US,10
Watch Communications,US,10
"US Signal Company, L.L.C.",US,10
Lanet Network Ltd,UA,10
xTom,DE;US,10
JasTel Network Company Limited,TH,10
China TieTong Telecommunications Corporation,CN,10
Securebit AG,CH,10
LINX,GB,10
Equinix Asia Pacific Pte Ltd,SG,10
TASMANET,AU,10
VODAFONE ENTERPRISE EQUIPMENT LIMITED,GB,10
"University of the Philippines Visayas, Iloilo Campus",PH,10
VITRO Inc.,PH,10
TDS TELECOM,US,10
Pishgaman Toseeh Ertebatat Company (Private Joint Stock),IR,9
Load.me sp. z o. o.,PL,9
"AMERIPRISE FINANCIAL SERVICES, LLC",US,9
Devoli LTD,NZ,9
Redcentric Solutions Ltd,GB,9
T2 Mobile LLC,RU,9
Darkness Reigns (Holding) B.V.,NL,9
"Allstream Business US, LLC",US,9
Anycast Holdings Pty Ltd,AU,9
Brasil TecPar,BR,9
iiNet Limited,AU,9
IBM Cloud,US,9
Voyager Internet Ltd.,NZ,9
"Liquid Web, L.L.C",US,9
"Digital Telecommunications Philippines, Inc.",PH,9
Itm8 A/S,DK,9
Telx,US,9
team.blue Denmark A/S,DK,9
Fastcom Limited,NZ,9
"Data Communication Business Group,",TW,9
"Paul, Hastings, Janofsky & Walker LLP",US,9
GHOSTnet GmbH,DE,9
LOBOS NETWORKING LTD,GB,9
"DIRECTV, LLC",US,9
Visionary Communications LLC,US,9
Scientific-Production Enterprise Information Technologies Ltd,UA,9
Signet B.V.,NL,9
Navisite Opco LLC,US,9
GlobalConnect A/S,DK,8
De La Salle - College of Saint Benilde,PH,8
PEG TECH INC,US,8
CHINANET Liaoning province network,CN,8
"NTT Global Data Centers Americas, INC.",US,8
EDGOO NETWORKS UNIPESSOAL LDA,PT,8
Incomm,US,8
"NAP.NET, LLC",US,8
Distributel Communications Limited,CA,8
ISPA SA,ZA,8
"Ace Data Centers II, L.L.C.",US,8
"Beijing Blue I.T Technologies Co.,Ltd.",CN,8
USDA,US,8
ISI,EU;US,8
Solarix Networks Limited,NZ,8
TPx Communications,US,8
DK Svyaz OOO,RU,8
Sumofiber,US,8
Zettagrid Pty Ltd,AU,8
"Otava, LLC",US,8
Norlys Telco A/S,DK,8
RECONN LLC,RU,8
Beeks Financial Cloud Ltd,GB,8
California Education and Research Federation Network,US,8
"Everest BBN, Inc.",US,8
DIGITAL NETWORK S.R.L.,MD,8
INTERNET MULTIFEED CO.,JP,8
eTarg Media ApS,DK,8
FIRST SERVER LIMITED,GB,8
INX-ZA,ZA,8
Performive LLC,US,8
Megaport (USA) Inc.,US,8
Sibirskie Seti Ltd.,RU,8
A1 Bulgaria EAD,BG,8
"SPRINT, Business Serices Group",US,8
Digital Realty,US,8
Telemach BH d.o.o. Sarajevo,BA,8
Diplomatic Telecommunications Services,US,8
Internet2,US,8
Pacific Internet Pte Ltd,SG,8
ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD,SA,8
PT Perusahaan Pengelola Aset,ID,7
Oakleigh Capital Ltd,PH,7
INFONET Services Corporation,US,7
Internap Holding LLC,US,7
GiGstreem,US,7
KCTC,KR,7
SaveCom International Inc.,TW,7
CHINANET Guangdong province Foshan network,CN,7
PJSC Promsvyazbank,RU,7
ASLINE LIMITED,HK,7
WATCH TOWER BIBLE AND TRACT SOCIETY,JP,7
TENET (The UNINET Project),ZA,7
ENV,US,7
PCCW IMS Ltd (PCCW Business Internet Access),HK,7
Telenet SIA,LV,7
Netrix LLC,US,7
"UAB ""Cherry Servers""",LT,7
Vero Broadband,US,7
Nexthop AS,NO,7
Smart Telecom Limited,RU,7
LLC Wildberries,RU,7
Orion Telekom Tim d.o.o.Beograd,RS,7
"CNISP-Union Technology (Beijing) Co., Ltd",CN,7
"""Uzbektelekom"" Joint Stock Company",UZ,7
"IntelePeer, Inc.",US,7
Asiatech Data Transmission company,IR,7
"LLC ""Nauka-Svyaz""",RU,7
GREEN FLOID LLC,US,7
Telenor Norge AS,NO,7
InternetNZ,NZ,7
PT JEMBATAN CITRA NUSANTARA,ID,7
Real World Technology Solutions Pty Ltd,AU,7
InComm,US,7
PIT CHILE SPA,CL,7
PureVoltage Hosting Inc.,US,7
eMoney Advisor,US,7
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,US,7
University of Illinois,US,7
WIDE Project,JP,7
"General Magic, Inc.",US,7
FIBERNETICS CORPORATION,CA,7
Sentia Denmark A/S,DK,7
GoNetSpeed,US,7
LLC Cifrovie Seti Urala,RU,7
"Nuclearfallout Enterprises, Inc.",US,7
"Evocative, Inc.",US,7
Data Storage Center JSC,RU,7
CANIX,CA,7
"Radial, Inc.",US,7
Netassist International EOOD,BG,7
Verizon Australia Pty Limited,AU,7
CloudKleyer Frankfurt GmbH,DE,7
"Hanson Communications, Inc.",US,7
"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",PL,7
D2CLOUD NETWORK SERVICES (PTY) LTD,ZA,7
CARDOCK HOSTING LIMITED,GB,7
SAKURA Internet Inc.,JP,7
IPv4 Superhub Limited,HK;US,7
University of the Philippines,PH,7
"KITTELSON AND ASSOCIATES, INC.",US,7
Test platform Service Center,CN,7
S.I Group,KH,6
CHINANET Sichuan province Chengdu MAN network,CN,6
Team Blue Carrier Limited,GB,6
Royal Thai Armed Force Headquarters,TH,6
Scientific-Production Enterprise Business Sviaz Holding LLC,RU,6
Address Limited,HK,6
Cesar Maffini Martin,ES,6
RETN Limited,GB,6
First Communications LLC,US,6
Iseek Communications Pty Ltd,AU,6
hosting.com,GB,6
Fairfax Media Limited,AU,6
DEMENIN B.V.,NL,6
National Knowledge Network,IN,6
Attachmate Corp.,US,6
BITNIFTY LTD,GB,6
"TRANSMEDIA INDONESIA, PT",ID,6
Localitel bvba,BE,6
NYSERNet,US,6
"JSC ""Severen-Telecom""",RU,6
CBRE Pty Limited,AU,6
Washington State University,US,6
Responsible Internet Sustainability Effort inc,PH,6
Comfortel Ltd.,KZ;RU,6
"Beijing Xiaoju Science and Technology Co., Ltd.",CN,6
Taiwan Network Information Center,TW,6
KOESIO Networks SAS,FR,6
"Mitel Networks, Inc.",US,6
VIRTUAL TELECOM SP. Z O.O.,PL,6
Gtelecom Pty Ltd,AU,6
Research Institute Of Petroleum Exploration and Development,CN,6
Intervolve Pty Ltd,AU,6
DIDWW Ireland Limited,IE,6
Star Satellite Communications Company - PJSC,AE,6
Zajil International Telecom Company KSCC,KW,6
Hostopia Australia Web Pty Ltd,AU,6
Aptum Technologies,CA,6
"Guangzhou navigation information technology co., LTD",CN,6
"Lunavi, Inc.",US,6
Bertram Communications LLC,US,6
